restaurant,item,food_type,meat,addition,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
Burger King,Jalapeno King Sandwich,cheeseburger,beef,double,990,585,65,24,3,205,1550,46,2,7,55,NA,NA,NA,Other
Burger King,Mushroom & Swiss King,cheeseburger,beef,double,940,567,63,21,2.5,175,1380,45,NA,8,49,NA,NA,NA,Other
Burger King,Rodeo Burger,cheeseburger,beef,none,310,110,13,4,0.5,25,450,38,1,9,9,NA,NA,NA,Other
Burger King,Rodeo King,cheeseburger,beef,double,1250,738,82,31,3.5,230,2270,69,3,14,60,NA,NA,NA,Other
Burger King,Sourdough King Single,cheeseburger,beef,bacon,730,387,43,16,1.5,125,1570,52,2,12,35,NA,NA,NA,Other
Burger King,Sourdough King Double,cheeseburger,beef,doublebacon,970,549,61,24,3,205,1640,52,2,12,55,NA,NA,NA,Other
Burger King,Steakhouse King,cheeseburger,beef,doublebacon,1100,666,74,24,1,180,1620,59,NA,13,50,NA,NA,NA,Other
Burger King,Bacon & Cheese Whopper,cheeseburger,beef,bacon,770,432,48,16,2,95,1360,47,2,9,29,NA,NA,NA,Other
Burger King,DOUBLE WHOPPER w/o Cheese,burger,beef,double,900,510,57,19,2,140,1050,51,3,11,47,NA,NA,NA,Other
Burger King,DOUBLE WHOPPER w/ Cheese,cheeseburger,beef,double,990,580,65,24,2,160,1480,53,3,11,52,NA,NA,NA,Other
Burger King,WHOPPER w/o Cheese,burger,beef,none,660,360,40,12,1.5,90,980,49,2,11,28,NA,NA,NA,Other
Burger King,WHOPPER w/ Cheese,cheeseburger,beef,none,760,430,47,16,1,100,1410,53,3,11,33,NA,NA,NA,Other
Burger King,WHOPPER JR. w/o Cheese,burger,beef,small,340,170,19,5,0,40,510,28,2,6,14,NA,NA,NA,Other
Burger King,WHOPPER JR. w/ Cheese,cheeseburger,beef,small,380,210,23,8,1,55,730,29,2,6,16,NA,NA,NA,Other
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,salad,salad,chicken,590,360,40,12,0,150,1540,18,3,6,42,NA,NA,NA,Other
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,salad,salad,chicken,720,450,50,13,0,120,1960,32,5,7,36,NA,NA,NA,Other
Burger King,Chicken BLT Salad w/ Grilled Chicken,salad,salad,chicken,550,330,37,10,0,115,1640,17,3,5,36,NA,NA,NA,Other
Burger King,Chicken BLT Salad w/ Crispy Chicken,salad,salad,chicken,690,430,48,12,1,100,1750,31,4,8,35,NA,NA,NA,Other
Burger King,Chicken Caesar Salad w/ Grilled Chicken,salad,salad,chicken,530,290,32,5,0,95,1640,26,3,6,35,NA,NA,NA,Other
Burger King,Chicken Caesar Salad w/ Crispy Chicken,salad,salad,chicken,670,380,43,7,0,80,1760,40,5,8,34,NA,NA,NA,Other
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",salad,salad,chicken,560,270,30,7,0,90,980,40,4,34,29,NA,NA,NA,Other
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",salad,salad,chicken,700,370,41,9,0,80,1090,54,5,37,28,NA,NA,NA,Other
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",salad,salad,chicken,320,120,14,6,0,115,650,16,2,4,36,NA,NA,NA,Other
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",salad,salad,chicken,450,220,24,7,0,85,1070,30,5,6,29,NA,NA,NA,Other
Burger King,Side Caesar Salad with dressing,salad,salad,none,220,180,20,4,0,10,540,7,2,3,6,NA,NA,NA,Other
Burger King,Side Garden Salad and Avocado Ranch Dressing,salad,salad,none,230,190,21,5,0,30,520,7,2,3,5,NA,NA,NA,Other
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,sandwich,chicken,bacon,830,468,52,14,0.5,110,2100,57,NA,9,34,NA,NA,NA,Other
Burger King,BBQ Bacon Crispy Chicken Sandwich,sandwich,chicken,bacon,440,243,27,4.5,0,15,630,44,NA,13,7,NA,NA,NA,Other
Burger King,Big Fish Sandwich,sandwich,fish,none,530,250,27,4.5,0,30,1360,54,2,7,17,NA,NA,NA,Other
Burger King,BK VEGGIE Burger,burger,veggie,none,410,150,16,3,0,5,1030,44,7,8,22,NA,NA,NA,Other
Burger King,Chicken Burger,sandwich,chicken,none,480,220,25,2.5,0,5,1160,42,2,10,22,NA,NA,NA,Other
Burger King,Chicken Cordon Bleu Sandwich,sandwich,chicken,none,730,351,39,9,0,90,1930,63,NA,16,32,NA,NA,NA,Other
Burger King,Chicken Fries,tenders,chicken,none,290,150,17,3,1.5,40,780,18,1,1,16,NA,NA,NA,Other
Burger King,4 Piece Chicken Nuggets,nuggets,chicken,none,190,100,11,2,0,25,310,10,1,0,10,NA,NA,NA,Other
Burger King,6 Piece Chicken Nuggets,nuggets,chicken,none,290,150,17,3,0,40,460,15,1,0,15,NA,NA,NA,Other
Burger King,20 Piece Chicken Nuggets,nuggets,chicken,none,950,500,55,11,0,130,1530,50,5,0,51,NA,NA,NA,Other
Burger King,Chicken Nuggets (10pc),nuggets,chicken,none,470,260,29,5,0,50,890,34,5,0,21,NA,NA,NA,Other
Burger King,Chicken Parmesan Sandwich,sandwich,chicken,none,570,225,25,8,0,70,1340,57,NA,9,32,NA,NA,NA,Other
Burger King,Crispy Buffalo Chicken Melt,sandwich,chicken,none,580,252,28,8,0.5,70,2310,56,NA,8,30,NA,NA,NA,Other
Burger King,Crispy Chicken Jr.,sandwich,chicken,none,430,250,28,4.5,0,30,760,34,2,4,12,NA,NA,NA,Other
Burger King,Crispy Chicken Sandwich,sandwich,chicken,none,670,370,41,7,0.5,60,1070,54,2,7,23,NA,NA,NA,Other
Burger King,Grilled Chicken Sandwich,sandwich,chicken,none,470,170,19,3.5,0,85,850,39,2,6,37,NA,NA,NA,Other
Burger King,Grilled Chili Cheese Dog,hotdog,beef,none,330,170,19,8,1,40,980,28,2,5,14,NA,NA,NA,Other
Burger King,Grilled Hot Dog,hotdog,beef,none,310,140,16,6,1,30,960,32,2,10,11,NA,NA,NA,Other
Burger King,Jalapeno Chicken Fries,tenders,chicken,none,300,160,18,3,0,40,950,19,1,1,15,NA,NA,NA,Other
Burger King,Original Chicken Sandwich,sandwich,chicken,none,630,350,39,7,1,65,1390,46,3,4,24,NA,NA,NA,Other
Burger King,Pretzel Chicken Fries,tenders,chicken,none,340,189,21,3.5,0,45,1200,21,1,1,16,NA,NA,NA,Other
Burger King,Rodeo Crispy Chicken Sandwich,sandwich,chicken,none,410,150,17,3,0,20,870,53,2,14,12,NA,NA,NA,Other
Burger King,Sourdough Chicken Club,sandwich,chicken,none,840,459,51,12,1,95,1760,62,3,7,32,NA,NA,NA,Other
Burger King,4 Piece Spicy Chicken Nuggets,nuggets,chicken,none,210,135,15,3,0,20,570,11,2,0,8,NA,NA,NA,Other
Burger King,Spicy Chicken Nuggets,nuggets,chicken,none,530,333,37,7,0,55,1420,28,NA,0,20,NA,NA,NA,Other
Burger King,Spicy Crispy Chicken Jr.,sandwich,chicken,none,410,220,25,4.5,0,35,850,35,2,5,12,NA,NA,NA,Other
Burger King,Spicy Crispy Chicken Sandwich,sandwich,chicken,none,700,378,42,7,0,65,1140,57,3,8,25,NA,NA,NA,Other
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,sandwich,chicken,none,760,405,45,11,0,95,1720,58,3,8,32,NA,NA,NA,Other
Dairy Queen,1/2 lb. FlameThrower GrillBurger,cheeseburger,beef,double,1000,660,74,26,2,170,1610,40,2,9,46,25,8,30,Other
Dairy Queen,1/2 lb. GrillBurger with Cheese,cheeseburger,beef,none,800,460,51,20,2,135,1280,44,3,13,40,25,6,35,Other
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,cheeseburger,beef,bacon,630,330,37,13,1,95,1250,44,2,13,30,20,6,25,Other
Dairy Queen,1/4 lb. GrillBurger with Cheese,cheeseburger,beef,none,540,270,30,11,1,70,1020,44,3,13,23,20,6,25,Other
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,cheeseburger,beef,none,570,310,35,11,1,75,820,39,2,8,24,2,0,25,Other
Dairy Queen,Original Cheeseburger,cheeseburger,beef,none,400,160,18,9,1,65,930,34,1,8,19,10,0,10,Other
Dairy Queen,Original Double Cheeseburger,cheeseburger,beef,double,630,310,34,18,2,125,1240,34,1,9,34,15,0,20,Other
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,tenders,chicken,none,1030,480,53,9,1,80,2780,105,9,4,35,2,0,10,Other
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,tenders,chicken,none,1260,590,66,11,1,120,3500,121,12,4,49,2,0,10,Other
Dairy Queen,Bacon Cheese Dog,hotdog,beef,none,420,240,26,11,1,60,1140,26,1,3,19,NA,NA,NA,Other
Dairy Queen,Cheese Dog,hotdog,beef,none,390,220,24,11,1,50,1000,26,1,3,16,NA,NA,NA,Other
Dairy Queen,Chili Cheese Dog,hotdog,beef,none,380,220,24,11,1,55,900,23,1,3,16,10,0,15,Other
Dairy Queen,Chili Dog,hotdog,beef,none,330,180,20,8,1,40,1050,24,1,5,13,8,0,6,Other
Dairy Queen,Hot Dog,hotdog,beef,none,290,160,17,7,1,35,900,22,1,4,11,4,0,6,Other
Dairy Queen,Relish Dog,hotdog,beef,none,350,180,20,8,1,35,1000,30,1,6,13,NA,NA,NA,Other
Dairy Queen,Barbecue Pork Sandwich,sandwich,pork,none,310,80,9,3,0,50,830,41,2,9,17,10,4,4,Other
Dairy Queen,Breaded Mushrooms,other,other,none,250,80,9,1,0,0,500,36,2,1,7,0,2,2,Other
Dairy Queen,Regular Cheese Curds,other,other,none,550,410,45,25,0,150,900,0,0,0,35,30,0,100,Other
Dairy Queen,Large Cheese Curds,other,other,none,1050,670,75,43,1,180,2210,52,0,30,43,NA,NA,NA,Other
Dairy Queen,Chili Cheese Mega Dog,hotdog,beef,none,760,440,49,21,2,100,1570,48,2,6,32,NA,NA,NA,Other
Dairy Queen,Corn Dog,hotdog,beef,none,260,140,15,4,0,20,450,26,1,7,6,0,4,0,Other
Dairy Queen,Crispy Fish Sandwich,sandwich,fish,none,470,200,22,3,0,20,1210,53,2,7,17,10,2,6,Other
Dairy Queen,Deluxe Cheeseburger,cheeseburger,beef,none,400,160,18,9,1,65,930,35,1,9,20,20,6,10,Other
Dairy Queen,Deluxe Double Cheeseburger,cheeseburger,beef,double,640,310,34,18,2,125,1240,35,1,9,34,25,6,20,Other
Dairy Queen,Deluxe Double Hamburger,burger,beef,double,540,240,26,13,1,100,750,34,1,9,29,15,6,4,Other
Dairy Queen,Deluxe Hamburger,burger,beef,none,350,130,14,7,1,50,680,34,1,9,17,15,6,4,Other
Dairy Queen,DQ Ultimate Burger,burger,beef,doublebacon,780,430,48,22,2,150,1390,34,1,7,41,20,6,20,Other
Dairy Queen,Pork Tenderloin Sandwich,sandwich,pork,none,580,310,34,7,0,45,910,48,2,6,19,NA,NA,NA,Other
Dairy Queen,Steak Finger Basket,other,pork,none,910,430,48,13,0.5,45,2210,95,5,2,23,NA,NA,NA,Other
Dairy Queen,3 chicken strips Chicken Strips,tenders,chicken,none,350,180,20,3,0,60,960,22,10,0,22,NA,NA,NA,Other
Dairy Queen,Chicken Bacon Ranch Sandwich,sandwich,chicken,bacon,500,180,20,8,0,65,1190,45,3,3,33,NA,NA,NA,Other
Dairy Queen,Chicken Mozzarella Sandwich,sandwich,chicken,none,640,220,25,8,0,60,1530,68,4,3,34,NA,NA,NA,Other
Dairy Queen,Crispy Chicken BLT Salad,salad,salad,chicken,520,280,31,10,0,100,1470,25,9,6,37,NA,NA,NA,Other
Dairy Queen,Crispy Chicken Garden Greens Salad,salad,salad,chicken,280,120,13,2,0,40,670,24,9,6,17,NA,NA,NA,Other
Dairy Queen,Crispy Chicken Sandwich,sandwich,chicken,none,600,270,30,5,0,55,1250,59,7,8,24,10,6,15,Other
Dairy Queen,Crispy Chicken Wrap,other,other,chicken,350,190,21,5,0,35,820,30,2,1,12,10,2,10,Other
Dairy Queen,Grilled Chicken BLT Salad,salad,salad,chicken,380,170,19,9,0,100,1540,11,3,6,42,NA,NA,NA,Other
Dairy Queen,Grilled Chicken Garden Greens Salad,salad,salad,chicken,150,20,2,0.5,0,40,730,10,3,6,23,NA,NA,NA,Other
Dairy Queen,Grilled Chicken Sandwich,sandwich,chicken,none,360,140,15,3,0,50,1040,32,1,5,25,10,8,6,Other
Dairy Queen,Grilled Chicken Wrap,other,other,chicken,280,130,15,4,0,30,800,22,1,1,15,10,4,10,Other
Dairy Queen,Side Salad,salad,salad,other,20,0,0,0,0,0,15,5,2,3,1,50,30,15,Other
Dairy Queen,Turkey BLT Sandwich,sandwich,turkey,bacon,550,240,26,8,0,60,1420,45,3,3,30,NA,NA,NA,Other
Subway,"6"" B.L.T.",sandwich,other,bacon,320,80,9,4,0,20,680,43,5,6,15,8,8,30,Other
Subway,Footlong B.L.T.,sandwich,other,bacon,640,160,18,8,0,40,1360,86,10,12,30,16,16,60,Other
Subway,"6"" BBQ Rib Sandwich",sandwich,beef,none,430,160,18,6,0,50,590,47,5,8,19,8,20,30,Other
Subway,Footlong BBQ Rib Sandwich,sandwich,beef,none,860,320,36,12,0,100,1180,94,10,16,38,16,40,60,Other
Subway,"6"" Big Hot Pastrami",sandwich,beef,none,580,310,31,11,0,85,1470,47,5,7,29,10,45,40,Other
Subway,Footlong Big Hot Pastrami,sandwich,beef,none,1160,620,62,22,0,170,2940,94,10,14,58,20,90,80,Other
Subway,"6"" Big Philly Cheesesteak",sandwich,beef,none,500,150,17,9,1,85,1310,51,6,8,38,15,20,50,Other
Subway,Footlong Big Philly Cheesesteak,sandwich,beef,none,1000,300,34,18,2,170,2620,102,12,16,76,30,40,100,Other
Subway,Kids Mini Sub Black Forest Ham,sandwich,pork,none,180,20,3,0.5,0,10,450,30,3,5,10,6,15,20,Other
Subway,"6"" Black Forest Ham",sandwich,pork,none,290,40,5,1,0,20,830,46,5,8,18,8,20,30,Other
Subway,Footlong Black Forest Ham,sandwich,pork,none,580,80,10,2,0,40,1660,92,10,16,36,16,40,60,Other
Subway,"6"" Carved Turkey",sandwich,turkey,none,330,45,5,1,0,45,890,45,5,7,25,8,20,30,Other
Subway,Footlong Carved Turkey,sandwich,turkey,none,660,90,10,2,0,90,1780,90,10,14,50,16,40,60,Other
Subway,"6"" Carved Turkey & Bacon w/ Cheese",sandwich,turkey,bacon,570,230,26,7,0,70,1600,46,5,8,33,10,20,40,Other
Subway,Footlong Carved Turkey & Bacon w/ Cheese,sandwich,turkey,bacon,1140,460,52,14,0,140,3200,92,10,16,66,20,40,80,Other
Subway,"6"" Chicken & Bacon Ranch Melt",sandwich,chicken,bacon,570,250,28,10,1,95,1080,47,5,8,35,15,25,50,Other
Subway,Footlong Chicken & Bacon Ranch Melt,sandwich,chicken,bacon,1140,500,56,20,2,190,2160,94,10,16,70,30,50,100,Other
Subway,"6"" Chicken Pizziola Melt",sandwich,chicken,none,460,140,16,6,0,80,1140,49,6,9,32,15,30,45,Other
Subway,Footlong Chicken Pizziola Melt,sandwich,chicken,none,920,280,32,12,0,160,2280,98,12,18,64,30,60,90,Other
Subway,"6"" Cold Cut Combo",sandwich,turkey,none,370,120,13,4,0,50,1140,46,5,7,18,10,20,35,Other
Subway,Footlong Cold Cut Combo,sandwich,turkey,none,740,240,26,8,0,100,2280,92,10,14,36,20,40,70,Other
Subway,"6"" Corned Beef Reuben",sandwich,beef,none,470,130,15,4.5,0,85,1770,45,7,12,39,10,35,20,Other
Subway,Footlong Corned Beef Reuben,sandwich,beef,none,940,260,30,9,0,170,3540,90,14,24,78,20,70,40,Other
Subway,"6"" Italian B.M.T.",sandwich,pork,none,410,150,16,6,0,45,1300,46,5,8,20,8,20,30,Other
Subway,Footlong Italian B.M.T.,sandwich,pork,none,820,300,32,12,0,90,2600,92,10,16,40,16,40,60,Other
Subway,"6"" Italian Hero",sandwich,pork,none,550,260,29,10,0,75,1470,47,5,9,26,10,20,40,Other
Subway,Footlong Italian Hero,sandwich,pork,none,1100,520,58,20,0,150,2940,94,10,18,52,20,40,80,Other
Subway,"6"" Meatball Marinara",sandwich,beef,none,480,160,18,7,1,30,950,59,8,12,21,25,35,35,Other
Subway,Footlong Meatball Marinara,sandwich,beef,none,960,320,36,14,2,60,1900,118,16,24,42,50,70,70,Other
Subway,"6"" Oven Roasted Chicken",sandwich,chicken,none,320,40,5,2,0,25,640,47,5,8,23,8,30,30,Other
Subway,Footlong Oven Roasted Chicken,sandwich,chicken,none,640,80,10,4,0,50,1280,44,10,16,46,16,60,60,Other
Subway,Kids Mini Sub Roast Beef,sandwich,beef,none,200,25,3,1,0,25,390,30,4,5,14,6,15,20,Other
Subway,"6"" Roast Beef",sandwich,beef,none,320,40,5,2,0,40,700,45,5,7,24,8,20,30,Other
Subway,Footlong Roast Beef,sandwich,beef,none,640,80,10,4,0,80,1400,90,10,14,48,16,40,60,Other
Subway,"6"" Rotisserie Style Chicken",sandwich,chicken,none,350,50,6,1.5,0,50,540,44,5,7,29,8,20,30,Other
Subway,Footlong Rotisserie Style Chicken,sandwich,chicken,none,700,100,12,3,0,100,1080,88,10,14,58,16,40,60,Other
Subway,"6"" Spicy Italian",sandwich,pork,none,480,220,24,9,1,50,1520,46,5,8,20,8,20,30,Other
Subway,Footlong Spicy Italian,sandwich,pork,none,960,440,48,18,2,100,3040,92,10,16,40,16,40,60,Other
Subway,"6"" Steak and Cheese",sandwich,beef,none,380,90,10,5,0,50,1060,48,5,8,26,10,20,40,Other
Subway,Footlong Steak and Cheese,sandwich,beef,none,760,180,20,10,0,100,2120,96,10,16,52,20,40,80,Other
Subway,"6"" Subway Club",sandwich,other,none,310,40,5,2,0,40,880,46,5,7,23,8,20,30,Other
Subway,Footlong Subway Club,sandwich,other,none,620,80,10,4,0,80,1760,92,10,14,46,16,40,60,Other
Subway,"6"" Subway Melt (includes cheese)",sandwich,other,none,370,100,11,5,0,45,1210,47,5,8,23,10,20,40,Other
Subway,Footlong Subway Melt (includes cheese),sandwich,other,none,740,200,22,10,0,90,1420,94,10,16,46,20,40,80,Other
Subway,"6"" Subway Seafood Sensation",sandwich,fish,none,420,170,19,3,0,20,690,51,5,8,13,10,20,35,Other
Subway,Footlong Subway Seafood Sensation,sandwich,fish,none,840,340,38,6,0,40,1380,102,10,16,26,20,40,70,Other
Subway,"6"" Sweet Onion Chicken Teriyaki",sandwich,chicken,none,380,40,5,1,0,50,900,59,5,18,26,8,30,35,Other
Subway,Footlong Sweet Onion Chicken Teriyaki,sandwich,chicken,none,760,80,10,2,0,100,1800,118,10,36,52,16,60,70,Other
Subway,"6"" Tuna",sandwich,fish,none,470,210,24,4,0,30,620,44,5,6,20,8,20,30,Other
Subway,Footlong Tuna,sandwich,fish,none,940,420,48,8,0,60,1240,88,10,12,40,16,40,60,Other
Subway,"6"" Turkey & Bacon Avocado",sandwich,turkey,bacon,390,110,13,3.5,0,30,860,49,8,7,22,10,200,30,Other
Subway,Footlong Turkey & Bacon Avocado,sandwich,turkey,bacon,780,220,26,7,0,60,1720,98,16,14,44,20,400,60,Other
Subway,Kids Mini Sub Turkey Breast,sandwich,turkey,none,180,20,2,0.5,0,10,380,30,3,5,10,6,15,20,Other
Subway,"6"" Turkey Breast",sandwich,turkey,none,280,30,4,1,0,20,810,46,5,7,18,8,20,30,Other
Subway,Footlong Turkey Breast,sandwich,turkey,none,560,60,8,2,0,40,1620,92,10,14,36,16,40,60,Other
Subway,"6"" Turkey Breast & Ham",sandwich,other,none,280,35,4,1,0,20,820,46,5,8,18,8,20,30,Other
Subway,Footlong Turkey Breast & Ham,sandwich,other,none,560,70,8,2,0,40,1640,92,10,16,36,16,40,60,Other
Subway,"6"" Turkey Italiano Melt (with Provolone)",sandwich,turkey,none,490,210,24,9,1,50,1480,47,5,8,24,10,20,45,Other
Subway,Footlong Turkey Italiano Melt (with Provolone),sandwich,turkey,none,980,420,48,18,2,100,2960,94,10,16,48,20,40,90,Other
Subway,Kids Mini Sub Veggie Delite,sandwich,veggie,none,150,15,2,0,0,0,190,29,3,4,6,6,15,20,Other
Subway,"6"" Veggie Delite",sandwich,veggie,none,230,20,3,1,0,0,310,44,5,6,8,8,20,30,Other
Subway,Footlong Veggie Delite,sandwich,veggie,none,460,40,6,2,0,0,620,88,10,12,16,16,40,60,Other
Subway,"6"" Veggie Patty",sandwich,veggie,none,390,70,7,1,0,10,800,56,8,8,23,15,20,35,Other
Subway,Footlong Veggie Patty,sandwich,veggie,none,780,140,14,2,0,20,1600,112,16,16,46,30,20,70,Other
Subway,Autumn Carved Turkey Salad,salad,salad,turkey,300,80,9,3,0,60,1120,26,3,22,25,40,40,15,Other
Subway,B.L.T. Salad,salad,salad,bacon,150,70,8,4,0,20,420,10,4,5,10,50,50,6,Other
Subway,Big Hot Pastrami Melt Salad,salad,salad,pork,400,300,29,11,0,85,1250,12,4,4,23,25,70,10,Other
Subway,Big Philly Cheesesteak Salad,salad,salad,beef,330,140,16,8,1,85,1080,17,5,6,32,60,50,25,Other
Subway,Black Forest Ham Salad,salad,salad,pork,110,25,3,1,0,20,590,11,4,6,12,25,45,4,Other
Subway,Buffalo Chicken Salad (with Ranch dressing),salad,salad,chicken,360,230,26,4,0,60,1100,13,4,6,20,50,60,8,Other
Subway,Carved Turkey & Bacon w/ Cheese Salad,salad,salad,turkey,280,110,12,4.5,0,65,1320,11,4,5,28,50,50,15,Other
Subway,Carved Turkey Salad,salad,salad,turkey,150,30,4,0,0,45,680,8,3,3,19,40,40,6,Other
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),salad,salad,chicken,510,340,38,12,1,100,1040,14,4,7,30,60,60,30,Other
Subway,Cold Cut Combo Salad,salad,salad,turkey,180,95,11,4,0,45,820,12,4,5,12,50,50,10,Other
Subway,Double Chicken Salad,salad,salad,chicken,220,35,5,1.5,0,100,490,10,4,4,36,50,60,8,Other
Subway,Italian B.M.T. Salad,salad,salad,pork,230,135,15,6,0,45,1060,12,4,6,14,50,50,6,Other
Subway,Italian Hero Salad,salad,salad,pork,230,140,15,5,0,45,1060,13,4,8,14,40,60,4,Other
Subway,Meatball Marinara Salad,salad,salad,beef,310,150,17,7,1,30,720,25,6,10,16,60,70,10,Other
Subway,Oven Roasted Chicken Salad,salad,salad,chicken,140,25,3,0.5,0,50,280,10,4,4,19,50,60,8,Other
Subway,Roast Beef Salad,salad,salad,beef,140,30,4,1,0,40,450,10,4,5,18,25,45,4,Other
Subway,Spicy Italian Salad,salad,salad,pork,310,205,23,9,1,50,1280,11,4,6,15,50,50,8,Other
Subway,Steak & Cheese Salad,salad,salad,beef,210,75,8,4,0,50,830,14,4,6,20,50,50,15,Other
Subway,Subway Club Salad,salad,salad,other,140,30,4,1,0,40,640,11,4,5,17,25,45,6,Other
Subway,Subway Melt Salad,salad,salad,other,200,85,10,5,0,45,910,13,4,6,18,50,50,15,Other
Subway,Sweet Onion Chicken Teriyaki Salad,salad,salad,chicken,200,25,3,1,0,50,660,24,4,16,20,25,50,6,Other
Subway,Tuna Salad,salad,salad,fish,310,215,24,4,0,40,370,10,4,4,15,50,50,6,Other
Subway,Turkey Breast & Ham Salad,salad,salad,other,110,20,3,1,0,25,580,11,4,5,12,25,45,6,Other
Subway,Turkey Breast Salad,salad,salad,turkey,110,20,2,1,0,20,570,11,4,5,12,25,45,6,Other
Subway,Veggie Delite Salad,salad,salad,none,50,10,1,0,0,0,65,9,4,4,3,25,45,4,Other
Subway,Chipotle Southwest Steak & Cheese Wrap,other,beef,none,760,330,37,12,1,100,2250,65,4,7,43,15,45,30,Other
Subway,Rotisserie-Style Chicken Caesar Wrap,other,chicken,none,730,310,34,10,0.5,135,1900,53,3,4,55,15,8,45,Other
Subway,"Turkey, Bacon & Guacamole Wrap",other,other,none,810,380,42,13,0.5,75,2970,62,3,6,43,10,30,30,Other
Subway,Cheese & Veggies Pizza,pizza,other,other,740,230,25,11,0,50,1270,100,5,9,36,35,30,60,Other
Subway,Cheese Pizza,pizza,other,other,680,200,22,9,0,40,1070,96,4,7,32,25,4,45,Other
Subway,Pepperoni Pizza,pizza,other,other,790,290,32,13,0,60,1350,96,4,8,38,30,4,60,Other
Subway,Sausage Pizza,pizza,other,other,820,310,34,14,0,70,1420,97,4,8,39,30,4,60,Other
Taco Bell,1/2 lb.* Cheesy Potato Burrito,burrito,other,other,540,230,26,7,1,45,1360,59,7,4,19,NA,NA,NA,Other
Taco Bell,1/2 lb.* Combo Burrito,burrito,other,other,460,170,18,7,1,45,1320,53,9,3,21,NA,NA,NA,Other
Taco Bell,7-Layer Burrito,burrito,other,other,510,170,19,7,0,20,1090,68,11,4,16,NA,NA,NA,Other
Taco Bell,Bean Burrito,burrito,other,other,370,100,11,4,0,5,960,56,9,3,13,NA,NA,NA,Other
Taco Bell,Beefy 5-Layer Burrito,burrito,beef,other,550,200,22,8,0,35,1270,68,8,5,19,NA,NA,NA,Other
Taco Bell,Beefy Fritos® Burrito,burrito,beef,other,440,160,18,5,0,20,1030,55,4,3,13,NA,NA,NA,Other
Taco Bell,Black Bean Burrito,burrito,other,other,410,110,12,4,0,10,1100,62,8,3,14,NA,NA,NA,Other
Taco Bell,Burrito Supreme® – Beef,burrito,beef,other,420,140,16,7,0,35,1090,53,8,5,16,NA,NA,NA,Other
Taco Bell,Burrito Supreme® - Chicken,burrito,chicken,other,390,110,12,5,0,40,1050,52,7,5,19,NA,NA,NA,Other
Taco Bell,Burrito Supreme® - Steak,burrito,beef,other,390,120,13,5,0,30,1090,52,7,5,17,NA,NA,NA,Other
Taco Bell,Cantina Power Burrito - Chicken,burrito,chicken,other,760,240,27,6,0,60,1960,96,12,7,32,NA,NA,NA,Other
Taco Bell,Cantina Power Burrito - Steak,burrito,beef,other,780,250,28,7,0,50,1900,98,13,7,33,NA,NA,NA,Other
Taco Bell,Cantina Power Burrito - Veggie,burrito,veggie,other,740,230,26,5,0,10,1750,107,17,8,20,NA,NA,NA,Other
Taco Bell,Cheesy Bean and Rice Burrito,burrito,other,other,420,160,17,3.5,0,0,930,55,6,4,11,NA,NA,NA,Other
Taco Bell,Chili Cheese Burrito,burrito,other,other,380,150,17,8,1,35,930,41,5,2,16,NA,NA,NA,Other
Taco Bell,Chicken Crunchy Cheesy Core Burrito,burrito,other,other,610,210,24,9,0,55,1510,74,5,5,25,10,4,35,Other
Taco Bell,Steak Crunchy Cheesy Core Burrito,burrito,beef,other,610,220,24,9,0,50,1520,75,5,5,25,10,4,40,Other
Taco Bell,Beef Crunchy Cheesy Core Burrito,burrito,beef,other,630,240,26,10,0.5,45,1530,76,7,5,22,15,4,35,Other
Taco Bell,Loaded Taco Burrito,burrito,other,other,550,260,29,9,0.5,50,1130,52,7,4,20,15,6,20,Other
Taco Bell,Chicken Quesarito,burrito,chicken,other,620,270,30,10,0,60,1440,64,4,4,24,NA,NA,NA,Other
Taco Bell,Steak Quesarito,burrito,beef,other,630,280,31,11,0.5,65,1410,64,3,4,25,NA,NA,NA,Other
Taco Bell,Beef Quesarito,burrito,beef,other,650,300,34,12,0.5,60,1450,65,6,5,22,NA,NA,NA,Other
Taco Bell,Shredded Chicken Burrito,burrito,chicken,other,400,160,18,4.5,0,30,960,45,3,3,16,NA,NA,NA,Other
Taco Bell,Smothered Burrito - Beef,burrito,beef,other,710,320,35,13,1,75,2260,70,10,4,28,NA,NA,NA,Other
Taco Bell,Smothered Burrito - Shredded Chicken,burrito,chicken,other,650,250,28,10,0,70,2230,67,8,4,34,NA,NA,NA,Other
